Org_Type,ID_rep,Org_Name,4-Hydroxyisoleucine_HILIC,Acetyl-L-carnitine_HILIC,Adenine_HILIC,Adenosine_HILIC,Adenosyl Homocysteine_HILIC,Adenosyl Methionine_HILIC,Agmatine_RP,Alanine_HILIC,Allopurinol_RP,Amino Propanesulfonic Acid_HILIC,AMP_HILIC,Arginine_HILIC,Argininosuccinic Acid_HILIC,Arsenobetaine_HILIC,Asparagine_HILIC,Aspartic acid_HILIC,beta-Alanine_HILIC,beta-Glutamic acid_HILIC,Betaine_HILIC,Betonicine_HILIC,Butyryl-L-carnitine_HILIC,Carnitine_HILIC,Choline_HILIC,Citrulline_HILIC,Creatine_HILIC,Cystathionine_HILIC,Cysteic Acid_HILIC,Cytidine_HILIC,Cytosine_HILIC,Deoxyadenosine_HILIC,Dexpanthenol_HILIC,DHPS_HILIC,Dimethylsulfonioacetate (DMS-Ac)_HILIC,DMSP_HILIC,Ectoine_HILIC,Gluconic Acid_HILIC,Glucosylglycerol_HILIC,Glutamic acid_HILIC,Glutamine_HILIC,Glutathione Disulfide_RP,Glycerophosphocholine_HILIC,Gonyol_HILIC,Guanine_HILIC,Guanosine_HILIC,Histidine_HILIC,Homarine_HILIC,Homoserine_HILIC,Inosine_HILIC,Isethionic Acid_HILIC,Kynurenine_RP,L-Pyroglutamic acid_HILIC,Leucine_HILIC,Lysine_HILIC,Malic Acid_HILIC,Methionine Sulfoxide_HILIC,Methionine_HILIC,Methylthioadenosine_RP,N-acetyltaurine_HILIC,N(e)-Acetyl-Lysine_HILIC,NAD_HILIC,Ornithine_HILIC,Phenylalanine_RP,Proline_HILIC,Propionyl-L-carnitine_HILIC,Sarcosine_HILIC,Serine_HILIC,Stachydrine hydrochloride_HILIC,Sucrose_HILIC,Sulfolactic Acid_HILIC,Sulfurol_RP,Taurine_HILIC,Threonine_HILIC,Thymidine_HILIC,Trehalose_HILIC,Trigonelline_HILIC,Trimethylammonium Propionate (TMAP)_HILIC,Tryptophan_RP,Tyrosine_HILIC,UDP-glucosamine_HILIC,Uracil_HILIC,Uridine_HILIC,Vitamin B2_RP,Vitamin B3_HILIC,Vitamin B5_RP
Dinoflagellate,449_A,Heterocapsa triquetra CCMP449,NA,370324820.8123175,699863209.7454503,2348632746.3646283,NA,3333126.861929623,NA,NA,NA,NA,612240.8046485562,25436409.75724862,NA,NA,1906969.884670973,6948765.595964959,NA,NA,NA,NA,NA,343484694.5698021,NA,NA,NA,857546.529805622,NA,3908952.0101465946,99580202.34197564,20261779.19358169,NA,NA,145370.6161696605,59395739232.5163,NA,NA,NA,247648809.8398372,98683213.87487833,1285644.3382591512,35477055.12786479,14085006282.629856,379805940.4772439,18597262.779105093,NA,3553110.344217326,6076474.05834292,11253346.311535852,NA,NA,NA,NA,4228596.289413916,NA,NA,7171931.687461287,870477.5388608677,NA,NA,NA,2555195.7053948026,8123458.101053004,35084125.29864614,29766628.321977407,NA,1644757.101141492,49903583.75365012,NA,NA,NA,26691688.05120491,13367846.5032593,NA,NA,334154947.9397104,83880122.70300563,1668197.5046456065,4757065.746394125,NA,NA,111061251.21670648,NA,141098180.10205588,NA
Dinoflagellate,449_B,Heterocapsa triquetra CCMP449,NA,303329897.7641094,681200964.175879,1865351575.0976644,321650.3200066495,2929519.5744327153,NA,NA,NA,NA,1337881.3066245532,24036252.18186352,NA,NA,1671064.3338043387,6816388.911977392,NA,NA,NA,NA,NA,239160518.660128,NA,849846.2305710248,NA,543842.9889452248,NA,3469713.6563876653,140930280.10971656,26621955.780899342,NA,NA,112338.95769262737,37134737395.06275,NA,NA,NA,230242739.58939406,68577200.56520654,820723.5475022858,33164840.827861357,13996291979.05411,531272180.201147,14246278.36422575,NA,2402805.2530961684,5387091.679827114,9896234.726955365,NA,NA,NA,NA,3386250.1038982626,NA,NA,6476851.467043471,824141.8003490982,NA,NA,NA,1777996.425899759,6702778.239547835,24201535.616324496,21898161.000748068,NA,1668323.4976311196,44150723.13190924,NA,NA,NA,22545991.605020363,11293525.060260992,NA,NA,276318194.6637852,67511840.24603109,1473146.4549912727,4119264.815892278,NA,NA,96232898.34593965,NA,151040927.60369048,NA
Dinoflagellate,449_C,Heterocapsa triquetra CCMP449,NA,244480342.40737045,375156226.98997074,1309529095.5584974,NA,2296844.3388527175,NA,NA,NA,NA,335211.012169245,17737960.42728377,NA,NA,1460120.7856508098,5444253.613594733,NA,NA,NA,NA,NA,212858122.2002575,NA,703908.3044668927,NA,376191.080723263,NA,2655766.335987232,31539647.07375904,16434135.548341462,NA,183541.5948783982,155958.577413446,35402966553.619034,NA,NA,NA,180098413.10143453,52260487.132519625,523342.8244980866,22761250.657429405,8647442195.179455,266841690.99911132,11912633.526179291,NA,1690353.4703204627,4004929.360343858,9468387.166978,NA,NA,NA,NA,2306316.763089646,NA,NA,3567761.4755436257,584611.6179110974,NA,NA,NA,1557273.4362248136,4514798.962621737,21346214.11342244,20001655.815303143,NA,1339594.4794065906,31790594.678902406,NA,NA,NA,16993309.635648087,11689040.425107455,NA,NA,192922004.38890803,48900161.41025408,996838.8980576361,3096666.6062133876,NA,NA,61482087.088993266,NA,71921434.91902283,NA
Cyanobacteria,7803_B,Synechococcus sp. 7803,NA,NA,50275670.37991219,1511271207.2281287,14877207.082985595,101700221.34329984,13533154.323451504,61921071.156428024,NA,NA,170277673.3553467,58121285.24257048,134033.80021045756,NA,4953060.252549076,18750005.442868028,NA,264352.38941906457,42531607213.614426,NA,NA,NA,NA,55404615.552088246,NA,NA,1247615.1166588047,3078927.9364273013,90846881.23661962,114253448.96404079,NA,NA,NA,NA,1368517.0906056098,17832385.06477013,110549185.38408506,2998745440.6908813,156093181.90064952,40327432.05486411,NA,NA,4989355.110853079,20473977.647955295,21851469.57436772,1042118973.8379477,35582880.36576073,NA,NA,NA,19724180.848361697,NA,19328816.357632715,NA,460570.9568561994,9204089.408178816,8892450.74204434,NA,NA,563320.9659276461,1337239.1959069632,68081222.10530135,394656845.3136906,NA,NA,24945068.761566095,NA,2399020922.3847017,89583.25773794405,NA,NA,23576573.896004934,NA,NA,NA,NA,12595100.511629594,24705847.45455205,4627649.769585254,NA,27760443.049457528,542021.6626147538,2072390.1447802896,484275.5542653942
Cyanobacteria,7803_F,Synechococcus sp. 7803,NA,NA,59571150.33252941,2004628458.6713438,27845211.21099174,226973163.77987283,14143495.578455016,71937031.35277352,NA,NA,229405583.57085434,83707827.23087043,148774.48293502885,NA,8006541.876781407,32377059.12446101,NA,NA,45434789446.75875,NA,NA,NA,NA,68211269.45845209,NA,NA,2031907.2937221369,4140443.8902287506,100095534.60498428,139969231.89359057,NA,NA,NA,NA,1983118.1941094787,7458062.468026017,130477863.04173061,4017282759.628736,247282759.62873638,44662537.45523642,NA,NA,6355446.082730395,23799241.759847984,36357458.15976028,1274492786.66959,51752601.76861799,NA,NA,NA,23255307.68106409,NA,26742311.627567053,NA,584049.093765987,15411897.975590147,4789683.822992033,NA,NA,421368.66915150185,1487439.2494336036,39572864.13798144,508525323.39399254,NA,5513809.106190163,26864192.793977927,NA,3193154483.6658626,NA,NA,NA,36574373.30994665,NA,NA,NA,NA,7461036.961923555,30163387.04962362,5972898.39581963,NA,28894540.6709055,131767.52174230796,2309870.825111452,205378.48059636043
Cyanobacteria,8102_A,Synechococcus sp. 8102,NA,NA,NA,789554169.4915254,27109680.790960453,390324790.960452,9708590.395480227,149415920.9039548,NA,NA,128465401.1299435,190042983.05084747,771336.1581920905,NA,307005.6497175141,77080090.39548023,NA,771518.361581921,109448394485.87572,NA,NA,NA,NA,210198214.68926555,1894094.6327683616,NA,218584.7457627119,1995803.6723163843,260740067.79661018,57375870.05649718,NA,NA,NA,NA,4503050.847457628,NA,187834779.66101697,9220901604.519775,3267086101.6949153,48695129.94350283,NA,NA,108111107.34463277,9693158.192090396,48434564.971751414,119757945491.52544,103457762.71186441,NA,NA,NA,284383661.0169492,NA,10052204.802259887,NA,6904926.5536723165,35160536.72316384,25369590.395480227,NA,NA,17591721.75141243,1701052.2598870057,58574429.378531076,382356971.75141245,NA,19853495.762711864,24051245.762711864,NA,NA,NA,NA,NA,114890372.88135594,NA,NA,NA,NA,21372166.666666668,27580867.23163842,6421050.847457628,NA,29019997.175141245,152644.06779661018,4954799.4350282485,407306.49717514124
Cyanobacteria,8102_F,Synechococcus sp. 8102,NA,NA,NA,981532298.2353877,53357013.406814694,171061777.33029518,8851536.74950983,136374352.18059456,NA,NA,127786699.16803561,132909533.1460972,431060.88707540673,NA,293496.6350484871,55845842.8276191,NA,NA,98076691643.26216,NA,NA,NA,NA,209538127.2852525,NA,NA,229565.20587144297,NA,195061353.3993959,60352445.55137513,NA,NA,NA,NA,NA,NA,175257930.15738437,8013550188.119337,1822543373.430131,31830120.290392667,NA,NA,67899984.10259128,15252347.517354673,36167606.38016003,112196170801.75932,78859244.34317207,NA,NA,NA,243397021.8854327,NA,10209138.360447248,NA,2940323.7772243125,33616207.40819246,19405064.649462137,NA,NA,12859261.565364847,1444198.7706003923,48035594.29812941,319521530.3905464,NA,15259070.796460178,16756361.613057073,NA,NA,NA,NA,NA,94828583.54088284,NA,NA,NA,NA,21400715.38339251,21398757.352551535,6548079.063112713,NA,33888977.796619155,135665.83646865562,NA,468315.13963224
Cyanobacteria,8501_B,Crocosphaera watsonii WH8501,4127686.89215355,NA,NA,7595933.777710954,101590.08077584475,4582847.648964314,87214.90125450723,4709737.776247299,NA,NA,9763787.912346704,40813205.65694974,51029.32752182683,NA,410128.31767556985,935328.9369803986,NA,NA,NA,NA,NA,NA,NA,2188237.519461056,NA,NA,56607.22051660111,NA,28439365.843064535,5969145.772134408,NA,NA,NA,NA,NA,NA,23537.03245638002,351236209.3931492,5477780.849512483,2048376.5882080954,NA,NA,10322534.299690293,348174.1231679393,3009826.0482025235,NA,NA,NA,NA,NA,18168674.88059305,NA,3273859.6993256733,NA,222787.2597378032,1702281.0055242723,1069179.7767765,NA,9058943502.176352,645700.9994993611,387352.7520856809,6052972.873349145,13053353.876232803,NA,NA,921606.9052596182,5090891.013235943,NA,292505.1289886071,NA,NA,3230318.398774755,NA,247745436.18363369,NA,NA,916710.452358742,3838612.675270757,1102824.702567162,NA,NA,34216.969016974836,NA,NA
Cyanobacteria,8501_C,Crocosphaera watsonii WH8501,3532723.5275280885,NA,NA,5672864.418015314,19890.93012715104,12784453.228231579,63638.00694559802,4360467.437609245,NA,NA,4244153.047942127,22249978.704948153,54363.34708783823,NA,495765.6934642432,701977.1378231038,NA,NA,302881410.37549704,NA,NA,NA,NA,1451639.8452108775,NA,NA,77414.60228409353,639715.3140605751,21555897.98812144,10599896.604838315,NA,NA,NA,3170501.4242170965,NA,NA,NA,319971019.0921537,5610478.319155456,2702245.1915459717,18154.81636143768,NA,6311719.5241465485,431591.1544819,3745335.6065990785,NA,410387.2065594957,NA,NA,NA,17072873.25272264,NA,5987397.40104457,NA,295961.2377322627,2232841.516622804,1408560.4900807936,NA,6536785978.797183,863530.0923564794,347581.18868655176,11704016.371072156,10861073.149387877,NA,79638.2855670024,1222329.491295131,5643896.546907059,NA,574297.8372250822,NA,NA,3706451.143363394,NA,406625475.23652196,NA,NA,1894347.1735491743,7819069.933252264,1591329.5397265381,NA,855409.7893050503,48822.35966551302,NA,NA
Cyanobacteria,8501_D,Crocosphaera watsonii WH8501,NA,NA,NA,7826811.088090003,57030.11537265643,6861839.269062792,83149.94291650716,3693269.372664131,NA,NA,5183777.526466304,18753647.61471597,38303.48617013131,NA,482809.61617023364,648562.5003330403,NA,NA,NA,NA,NA,NA,NA,1001690.6217315451,NA,NA,41611.66579806471,NA,34816110.72931314,9351560.46552864,NA,NA,NA,NA,NA,NA,NA,289240601.9362145,5701640.477437042,1963905.8140369754,32114.08973640795,NA,11049227.794769643,432358.0279046465,3763290.422138913,NA,NA,NA,NA,NA,34365831.92542058,NA,6068652.144087496,NA,215230.50793604262,1902937.1728579248,1482880.851261897,NA,8334420750.750883,752237.3795550644,317680.8202364628,10573151.447728626,11776996.592072356,NA,198733.1309901051,935128.2271231469,6405611.430884884,NA,365338.23408371897,NA,NA,3617605.928425834,NA,NA,NA,NA,1723734.2486669838,6456204.107464784,1353240.317613678,NA,NA,44600.121100822085,NA,NA
Cyanobacteria,As9601_A,Prochlorococcus marinus AS9601,NA,NA,203604860.14128244,12981604.461512435,320313.73139027436,102440025.86648284,4364219.348447974,NA,NA,NA,8134903.716478738,96466192.45341247,1858995.1863868502,NA,17939875.85310627,189016567.21793708,NA,NA,NA,NA,NA,NA,NA,209160217.45263085,NA,NA,685996.4027150486,NA,46214713.139707886,3731999.679182464,NA,NA,NA,NA,NA,NA,702034.185982368,3404632611.143203,368450662.7881305,NA,450229.05646863935,NA,29367541.08978735,581421.5706801693,NA,NA,13415846.557118708,NA,NA,NA,NA,NA,11634563.247244444,NA,NA,2686938.566135424,1204570.5454964722,NA,1292811.4985134369,1825934.107130081,NA,3370670.0573253967,43528709.26388963,NA,98968988.18838476,30504206.273257367,NA,348535138.861582,NA,NA,NA,18513797.804551214,NA,NA,NA,NA,1898574.7914962778,21651862.553086184,1763946.2407759738,NA,NA,NA,NA,NA
Cyanobacteria,As9601_B,Prochlorococcus marinus AS9601,NA,NA,276757869.0665026,13463539.488506814,169738.13056812916,75439769.04438542,3756052.8223503307,NA,NA,NA,9772276.189582236,82457403.2781587,1955540.3967909475,NA,16158249.494074931,175080525.660477,NA,NA,NA,NA,NA,NA,NA,196340794.22248778,NA,NA,527596.4496900181,NA,61170483.70651181,NA,NA,NA,NA,NA,NA,NA,672273.3591432662,3207202980.190074,324355686.0977293,NA,NA,NA,28419808.344860256,954744.9322577982,NA,NA,11228992.231907632,NA,NA,NA,NA,NA,10913053.04624589,NA,NA,1758035.3276117821,1583597.5770408541,NA,1260205.873059526,1414546.6453819077,NA,2971995.791093353,39435662.245239824,NA,107559741.45254919,28304613.29428096,NA,341175558.3935252,NA,NA,NA,16566277.436247213,NA,NA,NA,NA,1609028.0393606692,19825462.882518142,1503523.519070863,NA,639802.6978493764,NA,NA,NA
Cyanobacteria,As9601_C,Prochlorococcus marinus AS9601,NA,NA,167292499.45260984,12339489.369936638,435017.58802506176,86111841.80796829,3130084.177070095,NA,NA,NA,8708279.661128514,84780939.33496149,1707971.2394605514,NA,15768902.643010275,180514430.74559498,NA,NA,NA,NA,NA,NA,NA,190815708.88909894,NA,NA,604117.5888743727,NA,48179622.66931095,1683919.9200852201,NA,NA,NA,NA,NA,NA,NA,3277961160.107961,293463708.41204613,NA,NA,NA,25436361.93774188,698631.5238168126,NA,NA,12696658.099574145,NA,NA,NA,NA,NA,11085735.667954413,NA,NA,3208868.6262149066,972815.2801316193,NA,NA,1636896.3150683274,NA,NA,41702547.12528361,NA,93842159.3693303,27852720.964362077,NA,351783768.97033095,NA,NA,NA,17824228.543386906,NA,NA,NA,NA,1697210.8752821274,20554740.53421029,1672643.589379339,NA,NA,NA,NA,NA
Diatom,Cy_A,Cyclotella meneghiniana CCMP 338,NA,412000440.519875,NA,2201120.4826985705,814894.5398723758,12940501.50099798,NA,11569370.286182381,NA,NA,23528891.227085434,287516552.1126979,90142.06310179434,NA,9544546.204991356,6618012.921498527,2373920.984111829,NA,8358274554.524847,NA,58586782.38688505,77400367.55948286,NA,5323789.799549214,NA,2393101.1465424234,14392518.13569391,NA,6888236.427222009,493604.59945593635,NA,906348644.5895107,9044930.463436367,8727076973.441586,2395257.597301366,NA,252791.4357740311,214218183.47766742,241778601.8439278,1890901.367360702,784210227.1144314,2455161.349519989,3721443.1937030046,2437858.4672084744,18472813.536972933,5014303962.929786,48454164.36849408,376079.74230157054,1258393787.7353957,16011.148366148134,30362710.459766127,NA,61393552.6053486,26560821.112638574,735628.5945712478,211827407.13887185,1673570.442643281,NA,800579.210709396,1961047.1212123027,47757486.63014773,8837261.121802207,217411111.6409656,33873031.711676665,700168.5108166374,2377204.799980219,5760359.69484712,NA,8151.497816002506,NA,895601.489950797,15663366.698782686,NA,NA,181392347.0439732,NA,3458715.1347918464,5960600.818516921,5539918.581307224,NA,9161537.191027183,NA,682680.1794372137,39057.53929084619
Diatom,Cy_B,Cyclotella meneghiniana CCMP 338,NA,1244576146.7137105,NA,3782907.7690145434,1563129.823027939,25576000.421312306,NA,33512923.61782074,NA,NA,52677517.870830275,743751579.8746594,209774.08015786024,NA,26975442.284015164,15162580.632907454,5490160.686046701,4158255.152752171,25387615950.223576,NA,147307947.6159236,186771873.86652842,NA,7174575.966383187,NA,5880987.661106579,38502862.353812635,NA,15813900.440675685,957148.8233544964,1683295.6253379378,2701192306.7818117,26117958.944368877,25053032661.147934,6232027.724232893,NA,449649.33457719896,563621042.6717824,590133800.981884,4824408.310954471,2129131254.851852,6942743.938942478,7853709.071903555,4729878.188996149,45685116.20449223,14107110268.872501,66284345.97767365,899820.6497770115,3100529265.3806825,51413.12241477529,83496156.90453991,NA,102902572.13521168,68059090.59542722,2030657.759617908,511002959.71107435,5373138.580948336,NA,1385478.334127764,5833341.724912006,93777948.3186723,20766900.625046853,524530205.2433277,158233106.1808279,1818068.1343581884,6025567.105311456,15114218.88757743,NA,NA,NA,2281295.9657016816,44287723.76109895,NA,NA,500770130.3418648,NA,7347875.283235469,15848618.058817463,13809696.11646701,NA,15357294.718907429,NA,1107881.7759218523,108070.11554373609
Diatom,Cy_C,Cyclotella meneghiniana CCMP 338,NA,718620360.0976366,NA,1721253.6703278972,843057.6394865646,18246079.036204122,NA,18223286.2611753,NA,NA,26311036.510713067,325948005.1506191,99449.60042322992,NA,15583165.601318017,8620549.903100483,3514082.537812694,NA,12833480710.223837,NA,91369871.16722421,96136546.45371863,NA,4832390.693310196,NA,4075856.7409612,22182932.89417749,NA,8216593.905890582,537309.2460125035,NA,1627822105.614772,16763018.932067417,12038917273.872883,3419271.2832271894,NA,453102.71687379846,324697736.00768024,330089623.23857206,2907298.044266261,1357791102.8467152,4095596.5092075197,4399870.787210303,2885218.147933089,26839791.816853765,7674139155.45273,44414555.927147105,380632.089269338,1946709676.3429976,26369.459519068416,46879441.412594326,NA,82305877.6707412,38852661.030290656,204616.93932765585,311487752.85281444,3004036.3683388205,NA,956623.5679308719,2920024.07748802,68656803.1496907,11539456.50595705,293900525.2533752,114644047.65833856,961516.3981644724,4066730.765301675,8921036.534489123,NA,28623.953505962814,NA,1341124.9080743124,29537711.665834706,NA,NA,262933532.50414538,NA,4312294.304373251,9900894.547912601,9021024.11855209,NA,9008762.927374102,NA,469815.0678216027,68957.81607818308
Cyanobacteria,MED4_D,Prochlorococcus marinus MED4,78291179.57579482,NA,NA,51019032.55058888,10231850.682877526,29649720.83755434,5536889.813183981,78062553.81928618,NA,NA,76749016.13804506,68414995.11019072,1079360.3962806878,NA,15267897.972311396,84586377.47579846,NA,NA,NA,NA,NA,NA,NA,110980344.33255449,NA,NA,1939412.3939428139,2213514.634211466,206026911.71723837,19819987.57107437,NA,NA,NA,NA,NA,NA,3632288.316772813,12616428487.718904,380243452.8400971,52561293.20404426,NA,NA,79613374.57145111,2927704.698841567,45211617.0117794,NA,21657310.682589,NA,NA,NA,233996832.14436692,NA,NA,NA,5118363.40900308,4816628.88356949,10232132.096762178,NA,NA,23916112.48576535,6573347.383595212,40357951.50268146,126819637.84780668,NA,NA,24074446.170503613,NA,1337605424.6445596,NA,NA,NA,74775117.75169197,NA,NA,NA,NA,26967393.696282424,37953755.93684482,11386177.179721879,NA,NA,NA,NA,1704232.2522297914
Cyanobacteria,MED4_E,Prochlorococcus marinus MED4,NA,NA,NA,49776366.31750123,12766995.402437266,117616703.11871973,13963317.616608458,92146862.4861547,NA,NA,113555271.09206828,151305367.55037186,1673145.4694709927,NA,29685801.03901403,112730634.88390613,NA,NA,NA,NA,NA,NA,NA,297867616.5840709,5292065.982706195,NA,2053099.8866581202,5478805.091005929,206410827.3254187,15377198.612018611,NA,NA,NA,NA,NA,NA,4143022.341630842,15754549781.273973,1140291350.3538833,75390518.86369611,521013.8004861935,NA,79292360.45358443,4356861.05934151,122147284.50701563,NA,29999345.540103715,NA,NA,NA,293003932.2225897,NA,22391645.35030342,NA,8217103.7386814505,5195168.284519602,8185998.351010412,NA,12837875.743984928,27186475.347426154,12454316.703565184,62318319.521532066,210364842.1569397,NA,NA,30366685.218980383,NA,1915577109.1694546,NA,NA,NA,91419011.42189084,NA,NA,NA,NA,33171529.425100774,59806217.47521978,13344797.170375956,NA,NA,NA,NA,2293980.4936318817
Cyanobacteria,MED4_F,Prochlorococcus marinus MED4,NA,NA,NA,52323080.695098616,19288945.76489209,205306241.66503692,15125850.779289307,89362498.36535603,NA,NA,121819369.58246385,122069147.6373993,1910513.5643354764,NA,23119864.79302279,129187903.20121306,NA,NA,NA,NA,NA,NA,NA,313987822.1706606,NA,NA,4154574.9923628867,4174492.9444736196,185814076.59614658,13059646.108538903,NA,NA,NA,NA,4837313.488083815,NA,4202860.016440195,15589784529.117846,675559345.9091337,54092956.153553225,659603.3982127191,NA,83032356.00826684,4085837.934602172,130166188.77081294,NA,37779140.89794796,NA,NA,NA,286693388.4973956,NA,22220286.647604294,NA,9191807.109701997,8254124.395586719,8920000.088287987,NA,NA,26381576.89310605,14561361.993665865,48298439.39643254,183640551.90359634,NA,NA,28653076.445530504,NA,1756337548.6257226,NA,NA,NA,89102605.66603951,NA,NA,NA,NA,29671466.225734323,52995775.419822544,15268108.848234206,NA,NA,112400.1247209563,NA,1753812.5121978158
Cyanobacteria,Nat_A,Prochlorococcus marinus NATL2A,NA,NA,924675073.0644745,54900425.66269728,NA,153475022.0279476,13668665.067259261,NA,NA,NA,65865503.23230276,746828042.3325856,4940410.847857023,NA,269937844.71042717,2238132846.730835,NA,NA,NA,NA,NA,NA,NA,2811519320.639206,NA,2123256.901300484,5218093.69540518,NA,242850990.45145002,24224079.73808543,NA,NA,NA,NA,NA,NA,2749510.1949978224,21032752105.90868,8029030268.463962,24140868.700965833,NA,NA,120936199.06229924,2141893.120582763,NA,NA,45730229.08620256,NA,NA,NA,NA,NA,54320095.066343985,NA,NA,10444010.78661828,2403770.164405165,NA,NA,6769590.753076901,NA,41437522.265670694,314101391.08246094,NA,364027122.8864031,76232456.75045523,NA,1756570905.1217356,NA,NA,NA,77387759.23505762,NA,NA,NA,NA,14640006.441898597,59287363.059566,13031710.258564504,NA,NA,NA,NA,1751375.2798374617
Cyanobacteria,Nat_B,Prochlorococcus marinus NATL2A,128134197.2245198,NA,920126973.6237478,63183475.78347578,NA,156943148.60766473,9654314.860766474,NA,NA,NA,97287087.58386177,952801176.3624667,7012057.715283521,NA,330586232.88300705,2839186692.3995957,NA,NA,NA,NA,NA,NA,NA,3042659167.3559413,NA,2471500.7811782006,5057476.33489569,NA,306727341.23701864,28496277.915632755,NA,NA,NA,NA,NA,NA,2465545.4461906073,25867747155.592316,7375624446.282511,29626229.206874367,NA,NA,141485782.5567503,2433213.8590203105,NA,NA,67919584.59700395,NA,NA,NA,NA,NA,72160022.05679625,NA,NA,13451943.755169561,2867438.6545354286,NA,12711203.01442882,7343994.118187666,NA,47479349.32451061,374416542.59718776,NA,491071372.1165334,83875801.85644701,NA,1991727819.1342707,NA,NA,NA,96626504.9168275,NA,NA,NA,NA,19350372.208436724,74844223.87648194,13580920.87124345,NA,NA,NA,NA,2403290.13877401
Cyanobacteria,Nat_C,Prochlorococcus marinus NATL2A,119191057.52870142,NA,712361372.1920868,49558394.45614029,NA,189934716.64739692,13909735.312683975,NA,NA,NA,99658613.86611621,846473972.1566061,6797627.360179303,NA,309047814.01304984,2736295251.486887,NA,NA,NA,NA,NA,NA,NA,3022063345.163178,NA,2267344.443075317,7032563.825377391,NA,239493784.74343276,NA,NA,NA,NA,NA,NA,NA,4051943.9718041285,25788623598.574127,6216570347.085491,NA,NA,NA,110202225.24012895,2160253.906164657,NA,NA,69880070.97906895,NA,NA,NA,NA,NA,55821006.087374225,NA,NA,14331943.66884824,2743061.654727583,NA,11449147.252000747,7311377.916205314,NA,51118963.20338564,344244042.0374599,NA,432019866.6236702,82487532.92824635,NA,2181748335.126308,NA,NA,NA,84006663.71867283,NA,NA,NA,NA,20166083.913537554,72884832.62998046,13819904.52228663,NA,NA,NA,NA,1921949.24148876
Diatom,Np_A,Navicula pelliculosa CCMP543,NA,417695819.4098473,80762974.97316892,21967959.84076092,1113517.2159078338,10458815.152545419,NA,38847757.09403585,NA,NA,90694342.51572275,1852479366.1500921,3786784.303473523,NA,37316656.304477684,25961190.780315723,NA,NA,NA,NA,25601923.077791367,139529422.06979194,87929054.90063812,66748094.05707014,NA,NA,84164.2273757745,NA,NA,NA,NA,1375244335.9010792,NA,610056.3802413148,NA,NA,3218204.4471173924,629126447.1508044,719353500.5461031,2982886.811032954,1180747571.2067502,NA,2018538.83653613,7797275.850500929,41168089.15365523,NA,1879803.5744359605,NA,139478.90154475629,17651.616433754458,1322784969.9045007,NA,42200381.70782419,61896050.31282974,8747350.869137065,57318052.37804335,1230347.6232208752,NA,1870190.21728088,3588044.065716596,342517059.23334247,19243691.142653704,10626102006.381662,2406300.301203323,NA,6481901.838690291,NA,2177998.7023559418,NA,35210.67300950025,NA,4566919.197050004,NA,NA,NA,NA,3072120.383802837,4023108.3586969916,1629287.1581549975,NA,15722587.72078348,50500.88428527761,NA,19175.467754628782
Diatom,Np_C,Navicula pelliculosa CCMP543,NA,356969768.73819417,45230534.200786695,40401237.75588791,1104004.3884788642,13576130.456791801,NA,31485096.70214086,NA,NA,39983835.90082983,1311819569.7005868,3356131.756790029,NA,35272519.416261405,21349697.55344273,NA,NA,NA,NA,18322521.68140983,106217425.09745063,41265624.698390566,65666367.6670744,NA,NA,58881.25304071555,NA,NA,NA,NA,1229807979.2315435,NA,NA,NA,NA,NA,553104727.4632504,569148640.6154901,2644925.9690403454,592717454.0519567,NA,2583731.704002222,6021003.6380253425,35519036.89828302,NA,1672026.7957210361,NA,80477.76904546646,14856.222165757654,1018185991.9281929,106653367.29086278,34713791.20846654,48641833.54901486,9064753.699578289,43711379.90872437,537107.0706115704,NA,1212829.012808922,3868600.5125144524,259284882.79334164,18126581.22132864,9307569089.193666,2198575.3201245633,NA,4165878.985922595,NA,2143014.577707394,NA,22600.07524232164,NA,3464573.669520754,NA,NA,NA,NA,2572107.3562172414,3320106.442279094,1922012.9093763358,NA,10822668.02969511,117171.59779630604,NA,24090.93684569218
Diatom,Np_F,Navicula pelliculosa CCMP543,NA,339033431.44326913,37304041.46241723,25273085.759316497,1433303.6721899577,11631882.394444065,NA,30237034.306885775,NA,NA,59162278.04601514,1544172316.8512151,2221104.1667763605,NA,28028049.262069367,19405284.597793143,NA,NA,NA,NA,15653205.4218464,88385983.79343209,76327977.12757276,48945842.964429446,NA,NA,44036.79385856374,NA,NA,NA,NA,1033820546.9234023,NA,NA,NA,NA,1541352.3726282055,464054315.34534174,574383243.7356192,1533188.5378109375,605298969.9334292,NA,836156.4072457434,10808852.00844553,36521307.407036886,NA,833140.9746757019,1413441.5877311684,228056.45796805373,NA,1063277335.2007569,NA,33331857.647572964,38956138.3648461,803590.7534456947,53547663.000268534,271157.60948735365,NA,1969789.8622073156,2861634.100837357,236222227.60452044,15259361.6009295,7725507936.023196,1913866.1457538055,NA,4380865.929876845,NA,1557883.107013544,NA,22756.064299742528,NA,3675245.2309620217,NA,NA,NA,NA,2309741.316217625,4204306.657610365,1542480.549134825,NA,26405578.401071314,39400.7044960326,NA,11622.429440703163
