MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,MassFeature_Column,Volume,Adjusted_Area_VolNormed,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFFlag,RFratio,nmolinEnviroave,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,21967,170425,Smp,S4C2_A,A,170425,37202.85347095579,170425_Smp_S4C2_A Vitamin B5,RP,Vitamin B5_X_RP,10,3720.2853470955793,59,0.1917808219178082,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,2.1024247546412716e-4,C9H17NO5,9,1,0.0018921822791771444,2.1024247546412716e-4,55.20780310364675,11.612653817185548,3.427381951107119e-5,1.8104601994850624e-5,2.54,7.449536532193482e-7
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,141147,170425,Smp,S4C2_B,B,170425,141147,170425_Smp_S4C2_B Agmatine,RP,Agmatine_X_RP,10,14114.7,44,0.37142857142857144,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,3.8024592523580586e-4,C5H14N4,5,4,0.0019012296261790294,0.0015209837009432234,78.03345812900758,16.72995102999509,2.436428772688571e-5,9.091381667622669e-5,2.54,7.485156008578856e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,687920,170425,Smp,S4C2_B,B,170425,476888.4630902067,170425_Smp_S4C2_B Allopurinol,RP,Allopurinol_X_RP,10,47688.846309020664,22,0.6857142857142857,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.004294797205479036,C5H4N4O,5,4,0.02147398602739518,0.017179188821916144,78.03345812900758,16.72995102999509,2.751894705460016e-4,0.0010268523076436755,2.54,8.454325207635898e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,19646,170425,Smp,S4C2_B,B,170425,19646,170425_Smp_S4C2_B Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10,1964.6,56,0.19999999999999996,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.0017538206846365297,C20H32N6O12S2,20,6,0.035076413692730596,0.010522924107819178,78.03345812900758,16.72995102999509,4.495047961957686e-4,6.289871434143862e-4,2.54,1.3809611690051415e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,1224891,170425,Smp,S4C2_B,B,170425,1224891,170425_Smp_S4C2_B I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10,122489.1,15,0.7857142857142857,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,0.0011791082818705166,C11H15N5O3S,11,5,0.012970191100575682,0.005895541409352583,78.03345812900758,16.72995102999509,1.6621320407373102e-4,3.5239442116611583e-4,2.54,5.106374449045544e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,14077,170425,Smp,S4C2_B,B,170425,14077,170425_Smp_S4C2_B Kynurenine,RP,Kynurenine_X_RP,10,1407.7,57,0.18571428571428572,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,4.776578446349803e-5,C10H12N2O3,10,2,4.7765784463498027e-4,9.553156892699605e-5,78.03345812900758,16.72995102999509,6.121192833019138e-6,5.710212107358696e-6,2.54,1.880542695413308e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S4C2_B,B,170425,NA,170425_Smp_S4C2_B Sulfurol,RP,Sulfurol_X_RP,10,NA,70,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,78.03345812900758,16.72995102999509,NA,NA,2.54,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,37326,170425,Smp,S4C2_B,B,170425,27015.36400491499,170425_Smp_S4C2_B Vitamin B5,RP,Vitamin B5_X_RP,10,2701.5364004914995,55,0.2142857142857143,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,1.526704667530945e-4,C9H17NO5,9,1,0.0013740342007778504,1.526704667530945e-4,78.03345812900758,16.72995102999509,1.7608270012925096e-5,9.125577622993156e-6,2.54,5.409583467629332e-7
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,282077,170425,Smp,S6C1_A,A,170425,282077,170425_Smp_S6C1_A Agmatine,RP,Agmatine_X_RP,11,25643.363636363636,33,0.5975609756097561,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,6.908247806944046e-4,C5H14N4,5,4,0.003454123903472023,0.0027632991227776182,85.98496220915492,20.243313278276016,4.017125570247978e-5,1.365042908140455e-4,4.27,8.089283146304503e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,284984,170425,Smp,S6C1_A,A,170425,259923.8835368225,170425_Smp_S6C1_A Allopurinol,RP,Allopurinol_X_RP,11,23629.443957892956,31,0.6219512195121951,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.00212803784809082,C5H4N4O,5,4,0.010640189240454099,0.00851215139236328,85.98496220915492,20.243313278276016,1.237447684697735e-4,4.20492005204407e-4,4.27,2.491847597296042e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,138790,170425,Smp,S6C1_A,A,170425,138790,170425_Smp_S6C1_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,11,12617.272727272728,49,0.4024390243902439,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.01126358235406254,C20H32N6O12S2,20,6,0.2252716470812508,0.06758149412437525,85.98496220915492,20.243313278276016,0.002619895866596844,0.003338460122380258,4.27,5.275682601434445e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,1178999,170425,Smp,S6C1_A,A,170425,1178999,170425_Smp_S6C1_A I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,11,107181.72727272728,16,0.8048780487804879,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,0.00103175598720588,C11H15N5O3S,11,5,0.01134931585926468,0.0051587799360294,85.98496220915492,20.243313278276016,1.319918688997959e-4,2.548387146468514e-4,4.27,2.657919404980019e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,13937,170425,Smp,S6C1_A,A,170425,13937,170425_Smp_S6C1_A Kynurenine,RP,Kynurenine_X_RP,11,1267,75,0.08536585365853655,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,4.2991581242631244e-5,C10H12N2O3,10,2,4.2991581242631243e-4,8.598316248526249e-5,85.98496220915492,20.243313278276016,4.999895346590485e-6,4.2474846534897414e-6,4.27,1.0068286005300057e-7
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S6C1_A,A,170425,NA,170425_Smp_S6C1_A Sulfurol,RP,Sulfurol_X_RP,11,NA,82,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,85.98496220915492,20.243313278276016,NA,NA,4.27,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,55042,170425,Smp,S6C1_A,A,170425,52429.32613427733,170425_Smp_S6C1_A Vitamin B5,RP,Vitamin B5_X_RP,11,4766.302375843394,62,0.24390243902439024,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,2.693554705663067e-4,C9H17NO5,9,1,0.0024241992350967603,2.693554705663067e-4,85.98496220915492,20.243313278276016,2.819329302256358e-5,1.3305898439825255e-5,4.27,5.677281581022857e-7
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,40337,170425,Smp,S6C1_B,B,170425,40337,170425_Smp_S6C1_B Agmatine,RP,Agmatine_X_RP,11,3667,79,0.1123595505617978,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,9.87879166995898e-5,C5H14N4,5,4,4.939395834979491e-4,3.951516667983592e-4,98.78768558644614,23.585869566664595,5.000011697467265e-6,1.675374595290954e-5,4.27,1.1567671744682648e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,366369,170425,Smp,S6C1_B,B,170425,591163.5799066797,170425_Smp_S6C1_B Allopurinol,RP,Allopurinol_X_RP,11,53742.143627879974,29,0.6741573033707865,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.004839949508818635,C5H4N4O,5,4,0.024199747544093177,0.01935979803527454,98.78768558644614,23.585869566664595,2.449672487054746e-4,8.208218900115081e-4,4.27,5.667388183628379e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,44378,170425,Smp,S6C1_B,B,170425,44378,170425_Smp_S6C1_B Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,11,4034.363636363637,77,0.1348314606741573,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.0036015221392649856,C20H32N6O12S2,20,6,0.07203044278529971,0.021609132835589913,98.78768558644614,23.585869566664595,7.291439449937111e-4,9.161897878945057e-4,4.27,1.6868956155807896e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,668273,170425,Smp,S6C1_B,B,170425,668273,170425_Smp_S6C1_B I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,11,60752.09090909091,18,0.797752808988764,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,5.848136163287967e-4,C11H15N5O3S,11,5,0.006432949779616764,0.0029240680816439834,98.78768558644614,23.585869566664595,6.511894414195464e-5,1.2397541983259137e-4,4.27,1.5065456158353078e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,8164,170425,Smp,S6C1_B,B,170425,8164,170425_Smp_S6C1_B Kynurenine,RP,Kynurenine_X_RP,11,742.1818181818181,86,0.0337078651685393,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,2.518355953683299e-5,C10H12N2O3,10,2,2.518355953683299e-4,5.036711907366598e-5,98.78768558644614,23.585869566664595,2.5492610123754354e-6,2.135478572511612e-6,4.27,5.89778911869625e-8
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S6C1_B,B,170425,NA,170425_Smp_S6C1_B Sulfurol,RP,Sulfurol_X_RP,11,NA,89,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,98.78768558644614,23.585869566664595,NA,NA,4.27,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,49991,170425,Smp,S6C1_B,B,170425,67262.25910881576,170425_Smp_S6C1_B Vitamin B5,RP,Vitamin B5_X_RP,11,6114.75082807416,74,0.1685393258426966,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,3.455596092768213e-4,C9H17NO5,9,1,0.003110036483491392,3.455596092768213e-4,98.78768558644614,23.585869566664595,3.148202597346905e-5,1.4651128647180456e-5,4.27,7.283457806771409e-7
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,306455,170425,Smp,S6C1_C,C,170425,306455,170425_Smp_S6C1_C Agmatine,RP,Agmatine_X_RP,11,27859.545454545456,27,0.6931818181818181,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,7.50528076261814e-4,C5H14N4,5,4,0.00375264038130907,0.003002112305047256,92.74881835256919,20.92225671530327,4.04602500383782e-5,1.434889336221272e-4,4.27,8.788384967936932e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,209443,170425,Smp,S6C1_C,C,170425,405475.0916959138,170425_Smp_S6C1_C Allopurinol,RP,Allopurinol_X_RP,11,36861.3719723558,32,0.6363636363636364,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.0033196885559181833,C5H4N4O,5,4,0.016598442779590918,0.013278754223672733,92.74881835256919,20.92225671530327,1.7896123179159763e-4,6.346712213869448e-4,4.27,3.8872231333936575e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,115048,170425,Smp,S6C1_C,C,170425,115048,170425_Smp_S6C1_C Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,11,10458.90909090909,46,0.4772727272727273,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.009336786675338188,C20H32N6O12S2,20,6,0.18673573350676376,0.05602072005202913,92.74881835256919,20.92225671530327,0.002013348922645235,0.002677565848384492,4.27,4.373202189853952e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,833866,170425,Smp,S6C1_C,C,170425,833866,170425_Smp_S6C1_C I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,11,75806,15,0.8295454545454546,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,7.297260116653347e-4,C11H15N5O3S,11,5,0.008026986128318682,0.0036486300583266733,92.74881835256919,20.92225671530327,8.654542743396936e-5,1.7438989053498888e-4,4.27,1.8798562361402065e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,4100,170425,Smp,S6C1_C,C,170425,4100,170425_Smp_S6C1_C Kynurenine,RP,Kynurenine_X_RP,11,372.72727272727275,85,0.03409090909090906,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,1.2647304519967574e-5,C10H12N2O3,10,2,1.2647304519967576e-4,2.529460903993515e-5,92.74881835256919,20.92225671530327,1.3636081563746671e-6,1.2089809136809695e-6,4.27,2.9618980140439286e-8
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S6C1_C,C,170425,NA,170425_Smp_S6C1_C Sulfurol,RP,Sulfurol_X_RP,11,NA,88,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,92.74881835256919,20.92225671530327,NA,NA,4.27,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,55073,170425,Smp,S6C1_C,C,170425,93099.75510220896,170425_Smp_S6C1_C Vitamin B5,RP,Vitamin B5_X_RP,11,8463.614100200813,63,0.28409090909090906,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,4.782996501030474e-4,C9H17NO5,9,1,0.004304696850927427,4.782996501030474e-4,92.74881835256919,20.92225671530327,4.641241718642537e-5,2.2860805916467047e-5,4.27,1.0081257262125122e-6
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,163708,170425,Smp,S6C2_A,A,170425,163708,170425_Smp_S6C2_A Agmatine,RP,Agmatine_X_RP,10.5,15591.238095238095,48,0.4666666666666667,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,4.200234333776525e-4,C5H14N4,5,4,0.0021001171668882626,0.00168009373351061,88.7061517653977,19.3568189558849,2.3674988995605054e-5,8.679596256697045e-5,4.27,4.918307182408109e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,534712,170425,Smp,S6C2_A,A,170425,399694.7620984699,170425_Smp_S6C2_A Allopurinol,RP,Allopurinol_X_RP,10.5,38066.16781890189,28,0.6888888888888889,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.003428190946632133,C5H4N4O,5,4,0.017140954733160664,0.013712763786528533,88.7061517653977,19.3568189558849,1.9323298770184018e-4,7.084203152274434e-4,4.27,4.01427511315238e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,22189,170425,Smp,S6C2_A,A,170425,22189,170425_Smp_S6C2_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10.5,2113.2380952380954,78,0.1333333333333333,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.00188651159675785,C20H32N6O12S2,20,6,0.037730231935156996,0.0113190695805471,88.7061517653977,19.3568189558849,4.2533951912312264e-4,5.84758766734544e-4,4.27,8.83611989113747e-6
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,1138976,170425,Smp,S6C2_A,A,170425,1138976,170425_Smp_S6C2_A I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10.5,108473.90476190476,15,0.8333333333333334,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,0.0010441947852633054,C11H15N5O3S,11,5,0.011486142637896359,0.005220973926316527,88.7061517653977,19.3568189558849,1.2948529960215055e-4,2.697227234606767e-4,4.27,2.6899631470483274e-6
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,12950,170425,Smp,S6C2_A,A,170425,12950,170425_Smp_S6C2_A Kynurenine,RP,Kynurenine_X_RP,10.5,1233.3333333333333,83,0.07777777777777772,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,4.1849210891274806e-5,C10H12N2O3,10,2,4.184921089127481e-4,8.369842178254961e-5,88.7061517653977,19.3568189558849,4.717734909970387e-6,4.323976061009934e-6,4.27,9.800751965169745e-8
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S6C2_A,A,170425,NA,170425_Smp_S6C2_A Sulfurol,RP,Sulfurol_X_RP,10.5,NA,90,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,88.7061517653977,19.3568189558849,NA,NA,4.27,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,77889,170425,Smp,S6C2_A,A,170425,56173.35847871268,170425_Smp_S6C2_A Vitamin B5,RP,Vitamin B5_X_RP,10.5,5349.843664639303,64,0.28888888888888886,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,3.0233282408779376e-4,C9H17NO5,9,1,0.002720995416790144,3.0233282408779376e-4,88.7061517653977,19.3568189558849,3.067425835342734e-5,1.5618931229187216e-5,4.27,6.372354606065911e-7
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,262596,170425,Smp,S6C2_B,B,170425,262596,170425_Smp_S6C2_B Agmatine,RP,Agmatine_X_RP,10.5,25009.14285714286,37,0.5795454545454546,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,6.737390568038095e-4,C5H14N4,5,4,0.0033686952840190475,0.002694956227215238,78.50705387240478,17.133004218695643,4.290945995112859e-5,1.572961865190277e-4,4.27,7.889216121824467e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,779300,170425,Smp,S6C2_B,B,170425,630446.3033277452,170425_Smp_S6C2_B Allopurinol,RP,Allopurinol_X_RP,10.5,60042.50507883287,19,0.7840909090909091,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.005407352095530867,C5H4N4O,5,4,0.027036760477654333,0.021629408382123468,78.50705387240478,17.133004218695643,3.443863849686219e-4,0.0012624410819044403,4.27,6.331794022869867e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,62506,170425,Smp,S6C2_B,B,170425,62506,170425_Smp_S6C2_B Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10.5,5952.952380952381,66,0.25,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.005314268054754434,C20H32N6O12S2,20,6,0.10628536109508868,0.031885608328526605,78.50705387240478,17.133004218695643,0.0013538319915536656,0.0018610634726706496,4.27,2.489118526817065e-5
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,320700,170425,Smp,S6C2_B,B,170425,320700,170425_Smp_S6C2_B I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10.5,30542.85714285714,33,0.625,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,2.9401257588741297e-4,C11H15N5O3S,11,5,0.003234138334761543,0.001470062879437065,78.50705387240478,17.133004218695643,4.119551269899764e-5,8.580298356740745e-5,4.27,7.574094460799866e-7
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,12575,170425,Smp,S6C2_B,B,170425,12575,170425_Smp_S6C2_B Kynurenine,RP,Kynurenine_X_RP,10.5,1197.6190476190477,80,0.09090909090909094,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,4.0637361155040983e-5,C10H12N2O3,10,2,4.0637361155040983e-4,8.127472231008197e-5,78.50705387240478,17.133004218695643,5.176268774661663e-6,4.7437519580713395e-6,4.27,9.516946406332784e-8
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S6C2_B,B,170425,NA,170425_Smp_S6C2_B Sulfurol,RP,Sulfurol_X_RP,10.5,NA,88,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,78.50705387240478,17.133004218695643,NA,NA,4.27,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,99976,170425,Smp,S6C2_B,B,170425,89168.02112605699,170425_Smp_S6C2_B Vitamin B5,RP,Vitamin B5_X_RP,10.5,8492.192488195904,59,0.3295454545454546,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,4.79914685100713e-4,C9H17NO5,9,1,0.004319232165906417,4.79914685100713e-4,78.50705387240478,17.133004218695643,5.5017122065570554e-5,2.8011122799878088e-5,4.27,1.0115297812427206e-6
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,49875,170425,Smp,S8C1_A,A,170425,49875,170425_Smp_S8C1_A Agmatine,RP,Agmatine_X_RP,10.5,4750,72,0.1428571428571429,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,1.279636226678624e-4,C5H14N4,5,4,6.39818113339312e-4,5.118544906714496e-4,105.40880863382807,23.744389973534318,6.069873302163287e-6,2.15568600095419e-5,5.56,1.1507520024088345e-7
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,583156,170425,Smp,S8C1_A,A,170425,928749.1432509228,170425_Smp_S8C1_A Allopurinol,RP,Allopurinol_X_RP,10.5,88452.29935723073,21,0.75,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.007965902249679125,C5H4N4O,5,4,0.03982951124839562,0.0318636089987165,105.40880863382807,23.744389973534318,3.778575221996526e-4,0.001341942624520231,5.56,7.1635811597833855e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,23678,170425,Smp,S8C1_A,A,170425,23678,170425_Smp_S8C1_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,10.5,2255.0476190476193,75,0.1071428571428571,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.0020131065657772937,C20H32N6O12S2,20,6,0.040262131315545874,0.012078639394663762,105.40880863382807,23.744389973534318,3.819617339136195e-4,5.086944498522265e-4,5.56,7.241390524378754e-6
I298.0971R2.1_CyanoAq,Inj_vol,0.2140066585848667,0.2140066585848667,465592,170425,Smp,S8C1_A,A,170425,465592,170425_Smp_S8C1_A I298.0971R2.1_CyanoAq,RP,I298.0971R2.1_CyanoAq_X_RP,10.5,44342.09523809524,25,0.7023809523809523,1,400,3,3,Methylthioadenosine,483452480,338464160,410958320,NA,0.910014845623046,4.268472193095491e-4,C11H15N5O3S,11,5,0.00469531941240504,0.0021342360965477454,105.40880863382807,23.744389973534318,4.4543899824499156e-5,8.988380408705305e-5,5.56,8.444819087059424e-7
Kynurenine,Inj_vol,0.4075059796380346,0.4075059796380346,14170,170425,Smp,S8C1_A,A,170425,14170,170425_Smp_S8C1_A Kynurenine,RP,Kynurenine_X_RP,10.5,1349.5238095238096,79,0.05952380952380953,1,400,3,3,Kynurenine,207537664,74095560,140816612,NA,0.7534280860084843,4.579176203315553e-5,C10H12N2O3,10,2,4.5791762033155534e-4,9.158352406631107e-5,105.40880863382807,23.744389973534318,4.34420639286686e-6,3.857059464083549e-6,5.56,8.235928423229413e-8
Sulfurol,Inj_vol,0.31160503163173314,0.31160503163173314,0,170425,Smp,S8C1_A,A,170425,NA,170425_Smp_S8C1_A Sulfurol,RP,Sulfurol_X_RP,10.5,NA,84,0,1,400,3,3,Sulfurol,1404053376,721587200,1062820288,NA,1.0047080853267951,NA,C6H9NOS,6,1,NA,NA,105.40880863382807,23.744389973534318,NA,NA,5.56,NA
Vitamin B5,"Tryptamine Hydrochloride, D4",0.36776495175029,0.2630001357704216,124143,170425,Smp,S8C1_A,A,170425,172777.0853963763,170425_Smp_S8C1_A Vitamin B5,RP,Vitamin B5_X_RP,10.5,16454.960513940598,53,0.369047619047619,1,400,3,3,Vitamin B5,141132272,91665088,116398680,NA,0.5472808295696836,9.299102916436738e-4,C9H17NO5,9,1,0.008369192624793064,9.299102916436738e-4,105.40880863382807,23.744389973534318,7.939746908501915e-5,3.916336838639186e-5,5.56,1.5052504720850833e-6
Agmatine,Inj_vol,0.365775606382674,0.365775606382674,27379,170425,Smp,S9C1_A,A,170425,27379,170425_Smp_S9C1_A Agmatine,RP,Agmatine_X_RP,11.5,2380.782608695652,77,0.07228915662650603,1,400,3,3,Agmatine,291790241.98662347,105083627.35564695,232823065.93381244,used relative RF,0.5739625810760454,6.41375931354399e-5,C5H14N4,5,4,3.206879656771995e-4,2.565503725417596e-4,87.69281621900875,19.277068559935255,3.6569468230589855e-6,1.3308578103776857e-5,5.35,5.994167582751393e-8
Allopurinol,"L-Phenylalanine, D8",0.3641373137862282,0.22264063779785956,912825,170425,Smp,S9C1_A,A,170425,716034.4031621967,170425_Smp_S9C1_A Allopurinol,RP,Allopurinol_X_RP,11.5,62263.861144538845,14,0.8313253012048193,1,400,3,3,Allopurinol,47722930.6296815,47651774.05504256,47687352.34236203,used relative RF,0.8382497728907972,0.0056074046143430745,C5H4N4O,5,4,0.02803702307171537,0.022429618457372298,87.69281621900875,19.277068559935255,3.1971858449264767e-4,0.0011635388642020595,5.35,5.2405650601337145e-6
Glutathione Disulfide,Inj_vol,0.6672759216234158,0.6672759216234158,92639,170425,Smp,S9C1_A,A,170425,92639,170425_Smp_S9C1_A Glutathione Disulfide,RP,Glutathione Disulfide_X_RP,11.5,8055.565217391304,59,0.28915662650602414,1,400,3,3,Glutathione Disulfide,10913268.581476271,6214792.044144022,9623600.679814069,used relative RF,0.41903843437671984,0.007191294362567154,C20H32N6O12S2,20,6,0.1438258872513431,0.043147766175402925,87.69281621900875,19.277068559935255,0.0016401102559204463,0.0022382950001578372,5.35,2.6883343411466e-5
